Java HotSpot(TM) 64-Bit Server VM (25.271-b09) for windows-amd64 JRE (1.8.0_271-b09), built on Sep 16 2020 19:14:59 by "" with MS VC++ 15.9 (VS2017)
Memory: 4k page, physical 16647984k(7152332k free), swap 31852336k(12798560k free)
CommandLine flags: -XX:-BytecodeVerificationLocal -XX:-BytecodeVerificationRemote -XX:InitialHeapSize=266367744 -XX:+ManagementServer -XX:MaxHeapSize=524288000 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:TieredStopAtLevel=1 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
10871.215: [GC (Allocation Failure) [PSYoungGen: 116608K->7072K(123392K)] 165691K->56163K(321536K), 0.0059903 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
11386.471: [GC (Allocation Failure) [PSYoungGen: 114080K->9200K(114176K)] 163171K->58300K(312320K), 0.0041119 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12012.391: [GC (Allocation Failure) [PSYoungGen: 114158K->9344K(117760K)] 163257K->58452K(315904K), 0.0066678 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
12633.040: [GC (Allocation Failure) [PSYoungGen: 112256K->6720K(108032K)] 161364K->55835K(306176K), 0.0048956 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
13113.537: [GC (Allocation Failure) [PSYoungGen: 107584K->9040K(113664K)] 156699K->58164K(311808K), 0.0041088 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13714.097: [GC (Allocation Failure) [PSYoungGen: 108367K->9264K(107520K)] 157490K->58396K(305664K), 0.0056943 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
14304.022: [GC (Allocation Failure) [PSYoungGen: 107056K->6240K(110080K)] 156188K->55379K(308224K), 0.0039008 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14755.015: [GC (Allocation Failure) [PSYoungGen: 102496K->9168K(103936K)] 151635K->58316K(302080K), 0.0044822 secs] [Times: user=0.16 sys=0.00, real=0.00 secs] 
15324.834: [GC (Allocation Failure) [PSYoungGen: 103888K->8432K(105472K)] 153036K->58020K(303616K), 0.0043606 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
15886.314: [GC (Allocation Failure) [PSYoungGen: 101616K->6192K(98304K)] 151204K->55803K(296448K), 0.0037542 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
16309.882: [GC (Allocation Failure) [PSYoungGen: 97840K->8208K(101888K)] 147451K->57884K(300032K), 0.0036642 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
16847.276: [GC (Allocation Failure) [PSYoungGen: 98320K->8704K(97792K)] 147996K->58436K(295936K), 0.0053446 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
17378.068: [GC (Allocation Failure) [PSYoungGen: 97276K->5456K(98816K)] 147008K->55435K(296960K), 0.0035635 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
17904.308: [GC (Allocation Failure) [PSYoungGen: 92496K->5728K(91648K)] 142475K->55755K(289792K), 0.0036022 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
18297.347: [GC (Allocation Failure) [PSYoungGen: 91232K->8112K(95744K)] 141259K->58148K(293888K), 0.0036878 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
18803.321: [GC (Allocation Failure) [PSYoungGen: 92592K->8368K(92160K)] 142628K->58476K(290304K), 0.0040494 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
19308.910: [GC (Allocation Failure) [PSYoungGen: 91824K->5360K(94208K)] 141932K->55539K(292352K), 0.0030512 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
19785.189: [GC (Allocation Failure) [PSYoungGen: 87792K->6128K(87552K)] 137971K->56339K(285696K), 0.0039909 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
20180.327: [GC (Allocation Failure) [PSYoungGen: 87536K->7984K(91648K)] 137747K->58212K(289792K), 0.0037594 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
20668.325: [GC (Allocation Failure) [PSYoungGen: 88368K->7312K(87040K)] 138596K->57611K(285184K), 0.0045989 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
21148.101: [GC (Allocation Failure) [PSYoungGen: 86672K->5264K(89088K)] 136971K->55571K(287232K), 0.0037753 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21578.800: [GC (Allocation Failure) [PSYoungGen: 83600K->6112K(83456K)] 133907K->56459K(281600K), 0.0031001 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21965.905: [GC (Allocation Failure) [PSYoungGen: 83424K->8208K(86016K)] 133771K->58628K(284160K), 0.0050160 secs] [Times: user=0.13 sys=0.03, real=0.01 secs] 
22432.414: [GC (Allocation Failure) [PSYoungGen: 84496K->6912K(82432K)] 134916K->57347K(280576K), 0.0043435 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
22888.072: [GC (Allocation Failure) [PSYoungGen: 82176K->5504K(84480K)] 132611K->55963K(282624K), 0.0030577 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
23313.524: [GC (Allocation Failure) [PSYoungGen: 79744K->5744K(79360K)] 130203K->56275K(277504K), 0.0034320 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
23654.318: [GC (Allocation Failure) [PSYoungGen: 78960K->8144K(82944K)] 129491K->58692K(281088K), 0.0036688 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
108266.423: [GC (Allocation Failure) [PSYoungGen: 80336K->9601K(80896K)] 130884K->60164K(279040K), 0.0052537 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
108528.784: [GC (Allocation Failure) [PSYoungGen: 80769K->9200K(80896K)] 131332K->59804K(279040K), 0.0049708 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
108788.968: [GC (Allocation Failure) [PSYoungGen: 79344K->6672K(76288K)] 129948K->57323K(274432K), 0.0037304 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
108997.566: [GC (Allocation Failure) [PSYoungGen: 75792K->7331K(77824K)] 126443K->57998K(275968K), 0.0040685 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
109247.859: [GC (Allocation Failure) [PSYoungGen: 75427K->7488K(74752K)] 126094K->58163K(272896K), 0.0040177 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
109493.971: [GC (Allocation Failure) [PSYoungGen: 74560K->7136K(76800K)] 125235K->57859K(274944K), 0.0035818 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
